name,year,week,neighbour,ImportTWh,ExportTWh
Dražší povolenka,2009,23,SK,0,0.061
Dražší povolenka,2009,23,PL,0.001,0.066
Dražší povolenka,2009,23,DE,0.091,0.001
Dražší povolenka,2009,24,AT,0.052,0
Dražší povolenka,2009,24,SK,0,0.069
Dražší povolenka,2009,24,PL,0,0.08
Dražší povolenka,2009,24,DE,0.125,0
Dražší povolenka,2009,25,AT,0.066,0
Dražší povolenka,2009,25,SK,0,0.072
Dražší povolenka,2009,25,PL,0,0.084
Dražší povolenka,2009,25,DE,0.163,0
Dražší povolenka,2009,26,AT,0.049,0
Dražší povolenka,2009,26,SK,0,0.046
Dražší povolenka,2009,26,PL,0,0.084
Dražší povolenka,2009,26,DE,0.102,0
Dražší povolenka,2009,27,AT,0.062,0
Dražší povolenka,2009,27,SK,0,0.055
Dražší povolenka,2009,27,PL,0,0.077
Dražší povolenka,2009,27,DE,0.148,0
Dražší povolenka,2009,28,AT,0.043,0
Dražší povolenka,2009,28,SK,0,0.049
Dražší povolenka,2009,28,PL,0.001,0.064
Dražší povolenka,2009,28,DE,0.125,0.001
Dražší povolenka,2009,29,AT,0.063,0
Dražší povolenka,2009,29,SK,0,0.049
Dražší povolenka,2009,29,PL,0.002,0.068
Dražší povolenka,2009,29,DE,0.125,0.002
Dražší povolenka,2009,30,AT,0.051,0
Dražší povolenka,2009,30,SK,0.001,0.036
Dražší povolenka,2009,30,PL,0,0.068
Dražší povolenka,2009,30,DE,0.099,0.002
Dražší povolenka,2009,31,AT,0.06,0
Dražší povolenka,2009,31,SK,0,0.048
Dražší povolenka,2009,31,PL,0.001,0.074
Dražší povolenka,2009,31,DE,0.133,0
Dražší povolenka,2009,32,AT,0.048,0
Dražší povolenka,2009,32,SK,0.001,0.036
Dražší povolenka,2009,32,PL,0.001,0.063
Dražší povolenka,2009,32,DE,0.088,0
Dražší povolenka,2009,33,AT,0.055,0
Dražší povolenka,2009,33,SK,0,0.052
Dražší povolenka,2009,33,PL,0,0.06
Dražší povolenka,2009,33,DE,0.108,0.002
Dražší povolenka,2009,34,AT,0.047,0
Dražší povolenka,2009,34,SK,0,0.047
Dražší povolenka,2009,34,PL,0.001,0.056
Dražší povolenka,2009,34,DE,0.12,0.001
Dražší povolenka,2009,35,AT,0.051,0
Dražší povolenka,2009,35,SK,0.002,0.061
Dražší povolenka,2009,35,PL,0.001,0.076
Dražší povolenka,2009,35,DE,0.139,0.005
Dražší povolenka,2009,36,AT,0.049,0
Dražší povolenka,2009,36,SK,0,0.06
Dražší povolenka,2009,36,PL,0,0.077
Dražší povolenka,2009,36,DE,0.191,0
Dražší povolenka,2009,37,AT,0.059,0
Dražší povolenka,2009,37,SK,0,0.069
Dražší povolenka,2009,37,PL,0,0.073
Dražší povolenka,2009,37,DE,0.118,0
